"date","site","who","transect","segment","round","vial_number","specimen_number","gross_ID","plant","insect_order","insect_family","insect_subfamily","insect_genus","insect_species","fine_ID","pollen","notes","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","year","date.site"
2021-06-04,"Brush Creek Hill","MC","T1",3,1,"MC1",70037,"Small black solitary bee","Ligusticum porteri","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","double check species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-04.Brush Creek Hill"
2021-06-04,"Brush Creek Hill","MC","T1",1,2,"MC2",70038,"Wasps","Delphinium nuttallianum","Hymenoptera","Braconidae","","","","Braconidae","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-04.Brush Creek Hill"
2021-06-04,"Brush Creek Hill","KA","T3",4,2,"KA1",70039,"Small metallic solitary bee","Boechera stricta","Hymenoptera","Megachilidae","Megachilinae","Osmia","","Osmia","","Osmia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-04.Brush Creek Hill"
2021-06-04,"Brush Creek Hill","MC","T1",1,3,"MC3",70040,"Small black solitary bee","Delphinium nuttallianum","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-04.Brush Creek Hill"
2021-06-04,"Brush Creek Hill","MC","T1",1,3,"MC4",70041,"Beetles","Taraxacum officinale","Coleoptera","Mordellidae","Mordellinae","Mordella","","Mordella","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-04.Brush Creek Hill"
2021-06-04,"Brush Creek Hill","MC","T1",3,1,"",NA,"Other fly","Ligusticum porteri","Diptera","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-04.Brush Creek Hill"
2021-06-04,"Brush Creek Hill","MC","T1",3,2,"",NA,"Other fly","Ligusticum porteri","Diptera","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-04.Brush Creek Hill"
2021-06-09,"Stupid Falls","TL","T2",1,1,"TL1",70075,"Other fly","Taraxacum officinale","Diptera","Muscidae","Phaoniinae","Phaonia","","Phaonia","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
2021-06-09,"Stupid Falls","MC","T2",5,1,"MC1",70076,"Other fly","Taraxacum officinale","Diptera","Empididae","","","","Hybotidae","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
2021-06-09,"Stupid Falls","MC","T1",1,1,"MC2",70077,"Other fly","Valeriana occidentalis","Diptera","Anthomyiidae","","","","Anthomyiidae","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
2021-06-09,"Stupid Falls","BB","T1",4,1,"BB1",70078,"Other fly","Taraxacum officinale","Diptera","Muscidae","Phaoniinae","Phaonia","","Phaonia","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
2021-06-09,"Stupid Falls","MC","T2",5,2,"MC3",70079,"Small black solitary bee","Viola praemorsa","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
2021-06-09,"Stupid Falls","MDS","T3",1,2,"MDS1",70080,"Other fly","Taraxacum officinale","Diptera","Muscidae","","","","Drymeia","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
2021-06-09,"Stupid Falls","MDS","T2",3,2,"MDS2",70081,"Small black solitary bee","Mertensia fusiformis","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
2021-06-09,"Stupid Falls","BB","T2",4,2,"BB2",70082,"Small black solitary bee","Mertensia fusiformis","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
