"date","site","year","plant","total_flowers"
2021-06-04,"Brush Creek Hill",2021,"Boechera stricta",12
2021-06-04,"Brush Creek Hill",2021,"Delphinium nuttallianum",178
2021-06-04,"Brush Creek Hill",2021,"Lathyrus leucanthus",2
2021-06-04,"Brush Creek Hill",2021,"Ligusticum porteri",13
2021-06-04,"Brush Creek Hill",2021,"Lupinus sp.",44
2021-06-04,"Brush Creek Hill",2021,"Mertensia fusiformis",79
2021-06-04,"Brush Creek Hill",2021,"Taraxacum officinale",2
2021-06-04,"Brush Creek Hill",2021,"Viola praemorsa",4
2021-06-09,"Kebler Pass",2021,"Allium geyeri",8
2021-06-09,"Kebler Pass",2021,"Hydrophyllum capitatum",25
2021-06-09,"Kebler Pass",2021,"Mertensia fusiformis",541
2021-06-09,"Kebler Pass",2021,"Viola praemorsa",20
2021-06-09,"Stupid Falls",2021,"Boechera stricta",10
2021-06-09,"Stupid Falls",2021,"Delphinium nuttallianum",11
2021-06-09,"Stupid Falls",2021,"Draba aurea",14
2021-06-09,"Stupid Falls",2021,"Mertensia fusiformis",395
2021-06-09,"Stupid Falls",2021,"Senecio crassulus",3
2021-06-09,"Stupid Falls",2021,"Taraxacum officinale",340
2021-06-09,"Stupid Falls",2021,"Valeriana occidentalis",99
2021-06-09,"Stupid Falls",2021,"Viola praemorsa",691
2021-06-10,"Brush Creek Hill",2021,"Boechera stricta",25
2021-06-10,"Brush Creek Hill",2021,"Delphinium nuttallianum",99
2021-06-10,"Brush Creek Hill",2021,"Lathyrus leucanthus",37
2021-06-10,"Brush Creek Hill",2021,"Ligusticum porteri",25
2021-06-10,"Brush Creek Hill",2021,"Lupinus sp.",1735
2021-06-10,"Brush Creek Hill",2021,"Mertensia fusiformis",4
2021-06-10,"Brush Creek Hill",2021,"Potentilla pulcherrima",1
2021-06-10,"Brush Creek Hill",2021,"Thlaspi arvense",13
2021-06-14,"Rustlers Gulch",2021,"Androsace septentrionalis",10
2021-06-14,"Rustlers Gulch",2021,"Boechera stricta",48
2021-06-14,"Rustlers Gulch",2021,"Delphinium nuttallianum",1
2021-06-14,"Rustlers Gulch",2021,"Fragaria virginiana",342
2021-06-14,"Rustlers Gulch",2021,"Geum triflorum",9
2021-06-14,"Rustlers Gulch",2021,"Mertensia fusiformis",4
2021-06-14,"Rustlers Gulch",2021,"Pseudocymopterus montanus",58
2021-06-14,"Rustlers Gulch",2021,"Ranunculus inamoenus",8
2021-06-14,"Rustlers Gulch",2021,"Taraxacum officinale",56
2021-06-14,"Rustlers Gulch",2021,"Valeriana edulis",51
2021-06-14,"Rustlers Gulch",2021,"Valeriana occidentalis",7
2021-06-14,"Rustlers Gulch",2021,"Viola praemorsa",45
2021-06-14,"Stupid Falls",2021,"Boechera stricta",2
2021-06-14,"Stupid Falls",2021,"Delphinium nuttallianum",50
2021-06-14,"Stupid Falls",2021,"Draba aurea",14
2021-06-14,"Stupid Falls",2021,"Geum triflorum",12
2021-06-14,"Stupid Falls",2021,"Lathyrus leucanthus",25
2021-06-14,"Stupid Falls",2021,"Lupinus sp.",147
2021-06-14,"Stupid Falls",2021,"Mertensia fusiformis",18
2021-06-14,"Stupid Falls",2021,"Potentilla pulcherrima",5
2021-06-14,"Stupid Falls",2021,"Senecio atratus",16
2021-06-14,"Stupid Falls",2021,"Senecio crassulus",272
2021-06-14,"Stupid Falls",2021,"Taraxacum officinale",373
2021-06-14,"Stupid Falls",2021,"Thlaspi arvense",22
2021-06-14,"Stupid Falls",2021,"Valeriana occidentalis",136
2021-06-14,"Stupid Falls",2021,"Viola praemorsa",7
2021-06-16,"Kebler Pass",2021,"Boechera stricta",23
2021-06-16,"Kebler Pass",2021,"Delphinium nuttallianum",518
2021-06-16,"Kebler Pass",2021,"Hydrophyllum capitatum",3
2021-06-16,"Kebler Pass",2021,"Lathyrus leucanthus",30
2021-06-16,"Kebler Pass",2021,"Mertensia fusiformis",1
2021-06-16,"Kebler Pass",2021,"Taraxacum officinale",1
2021-06-17,"Brush Creek Hill",2021,"Boechera stricta",2
2021-06-17,"Brush Creek Hill",2021,"Delphinium nuttallianum",4
2021-06-17,"Brush Creek Hill",2021,"Lathyrus leucanthus",102
2021-06-17,"Brush Creek Hill",2021,"Ligusticum porteri",2
2021-06-17,"Brush Creek Hill",2021,"Linum lewisii",2
2021-06-17,"Brush Creek Hill",2021,"Lupinus sp.",1612
2021-06-17,"Brush Creek Hill",2021,"Potentilla pulcherrima",5
2021-06-17,"Brush Creek Hill",2021,"Vicia americana",13
2021-06-21,"Rustlers Gulch",2021,"Boechera stricta",30
2021-06-21,"Rustlers Gulch",2021,"Delphinium nuttallianum",26
2021-06-21,"Rustlers Gulch",2021,"Fragaria virginiana",235
2021-06-21,"Rustlers Gulch",2021,"Geum triflorum",48
2021-06-21,"Rustlers Gulch",2021,"Potentilla pulcherrima",29
2021-06-21,"Rustlers Gulch",2021,"Pseudocymopterus montanus",93
2021-06-21,"Rustlers Gulch",2021,"Taraxacum officinale",13
2021-06-21,"Rustlers Gulch",2021,"Thalictrum fendleri",36
2021-06-21,"Rustlers Gulch",2021,"Valeriana edulis",131
2021-06-21,"Rustlers Gulch",2021,"Valeriana occidentalis",7
2021-06-21,"Stupid Falls",2021,"Achillea millefolium",1
2021-06-21,"Stupid Falls",2021,"Agoseris aurantiaca",5
2021-06-21,"Stupid Falls",2021,"Boechera stricta",6
2021-06-21,"Stupid Falls",2021,"Collomia linearis",26
2021-06-21,"Stupid Falls",2021,"Delphinium nuttallianum",7
2021-06-21,"Stupid Falls",2021,"Draba aurea",6
2021-06-21,"Stupid Falls",2021,"Geum triflorum",16
2021-06-21,"Stupid Falls",2021,"Lathyrus leucanthus",171
2021-06-21,"Stupid Falls",2021,"Lupinus sp.",1345
2021-06-21,"Stupid Falls",2021,"Mertensia fusiformis",2
