"date","site","round","starttime","endtime","start30","end30","year","starttemp","endtemp","avg.temp"
2020-06-03,"Brush Creek Hill",NA,"10:00","10:37","10:00","10:30",NA,NA,NA,NA
2020-06-03,"Brush Creek Trail",NA,"11:20","11:50","11:30","12:00",NA,NA,NA,NA
2020-06-03,"Stupid Falls",NA,"10:08","10:46","10:00","11:00",NA,NA,NA,NA
2020-06-04,"Gothic Town",NA,"10:05","11:40","10:00","11:30",NA,NA,NA,NA
2020-06-04,"Ohio Pass Low",NA,"11:30","12:15","11:30","12:30",NA,NA,NA,NA
2020-06-05,"Meridian",NA,"11:40","11:50","11:30","12:00",NA,NA,NA,NA
2020-06-05,"Wash 3C",NA,"11:00","11:20","11:00","11:30",2020,24.931,26.879,25.905
2020-06-05,"Pfeiler",NA,"10:10","10:30","10:00","10:30",NA,NA,NA,NA
2020-06-08,"Brush Creek Hill",NA,"10:23","10:52","10:30","11:00",2020,18.806,19.853,19.3295
2020-06-08,"Brush Creek Trail",NA,"11:30","11:45","11:30","12:00",2020,21.378,19.092,20.235
2020-06-08,"Ohio Pass Low",NA,"11:05","11:37","11:00","11:30",2020,18.521,21.855,20.188
2020-06-10,"Stupid Falls",NA,"13:37","14:15","13:30","14:30",2020,20.329,20.615,20.472
2020-06-10,"Gothic Town",NA,"13:26","14:48","13:30","15:00",2020,20.138,19.282,19.71
2020-06-11,"403 Bench",NA,"10:28","10:44","10:30","10:30",2020,18.521,18.521,18.521
2020-06-11,"Rustlers Gulch",NA,"11:40","12:30","11:30","12:30",2020,19.853,20.424,20.1385
2020-06-11,"Avery Picnic",NA,"11:14","12:10","11:00","12:00",2020,18.711,23.869,21.29
2020-06-12,"Pfeiler",NA,"10:10","10:30","10:00","10:30",2020,22.046,20.996,21.521
2020-06-12,"Wash 3C",NA,"10:48","11:00","11:00","11:00",2020,25.708,25.708,25.708
2020-06-12,"Meridian",NA,"11:23","11:43","11:30","11:30",2020,28.06,28.06,28.06
2020-06-15,"Ohio Pass Low",NA,"10:00","10:15","10:00","10:30",2020,18.901,20.329,19.615
2020-06-15,"Ohio Pass High",NA,"10:55","11:11","11:00","11:00",2020,19.187,19.187,19.187
2020-06-15,"Kebler Pass",NA,"11:33","11:48","11:30","12:00",NA,NA,NA,NA
2020-06-15,"Lake Irwin",NA,"12:15","12:30","12:30","12:30",2020,23.966,23.966,23.966
2020-06-16,"Stupid Falls",NA,"10:00","10:26","10:00","10:30",2020,18.14,17.379,17.7595
2020-06-16,"Gothic Town",NA,"11:22","12:03","11:30","12:00",2020,19.282,19.567,19.4245
2020-06-16,"Brush Creek Hill",NA,"10:08","10:34","10:00","10:30",2020,21.76,21.76,21.76
2020-06-16,"Brush Creek Trail",NA,"10:52","10:55","11:00","11:00",2020,21.76,21.76,21.76
2020-06-17,"Avery Picnic",NA,"10:32","11:26","10:30","11:30",2020,12.98,27.272,20.126
2020-06-17,"Rustlers Gulch",NA,"11:58","12:46","12:00","13:00",2020,20.519,21.664,21.0915
2020-06-17,"403 Bench",NA,"10:40","10:47","10:30","11:00",2020,20.234,21.569,20.9015
2020-06-17,"Emerald Lake Hill",NA,"14:21","14:37","14:30","14:30",2020,29.152,29.152,29.152
2020-06-17,"Emerald Lake Shore",NA,"13:49","14:34","14:00","14:30",2020,25.805,21.187,23.496
2020-06-18,"Virginia Basin",NA,"11:35","12:25","11:30","12:30",2020,15.855,16.903,16.379
2020-06-18,"Pfeiler",NA,"11:00","11:13","11:00","11:00",2020,17.855,17.855,17.855
2020-06-18,"Wash 3C",NA,"10:05","10:35","10:00","10:30",2020,22.429,23.004,22.7165
2020-06-18,"Meridian",NA,"12:00","12:46","12:00","13:00",2020,18.426,21.473,19.9495
2020-06-22,"Ohio Pass Low",NA,"10:00","10:14","10:00","10:00",2020,20.424,20.424,20.424
2020-06-22,"Ohio Pass High",NA,"10:46","11:05","11:00","11:00",2020,21.282,21.282,21.282
2020-06-22,"Kebler Pass",NA,"11:24","11:41","11:30","11:30",2020,27.272,27.272,27.272
2020-06-22,"Lake Irwin",NA,"11:59","12:14","12:00","12:00",2020,26.097,26.097,26.097
2020-06-23,"Stupid Falls",NA,"12:47","13:15","13:00","13:30",2020,30.963,30.659,30.811
2020-06-23,"Gothic Town",NA,"10:22","11:45","10:30","12:00",2020,24.255,26.39,25.3225
2020-06-23,"Brush Creek Hill",NA,"11:26","11:56","11:30","12:00",2020,29.053,30.659,29.856
2020-06-23,"Brush Creek Trail",NA,"10:25","10:54","10:30","11:00",2020,25.319,26,25.6595
2020-06-24,"Avery Picnic",NA,"11:50","12:28","12:00","12:30",2020,25.416,31.778,28.597
2020-06-24,"403 Bench",NA,"10:05","10:10","10:00","10:00",2020,20.424,20.424,20.424
2020-06-24,"Rustlers Gulch",NA,"10:08","10:45","10:00","11:00",2020,22.812,21.569,22.1905
2020-06-24,"Emerald Lake Hill",NA,"13:32","14:01","13:30","14:00",2020,29.652,31.676,30.664
2020-06-24,"Emerald Lake Shore",NA,"13:49","14:56","14:00","15:00",2020,26.781,26.292,26.5365
2020-06-25,"Virginia Basin",NA,"9:47","11:35","10:00","11:30",2020,19.662,25.028,22.345
2020-06-25,"Meridian",NA,"10:34","11:10","10:30","11:00",2020,22.333,22.717,22.525
2020-06-25,"Wash 3C",NA,"11:41","12:14","11:30","12:00",2020,29.853,30.356,30.1045
2020-06-26,"Pfeiler",NA,"10:52","11:21","11:00","11:30",2020,21.569,22.525,22.047
2020-06-29,"Ohio Pass Low",NA,"12:12","12:26","12:00","12:30",2020,25.125,24.351,24.738
2020-06-29,"Ohio Pass High",NA,"11:27","11:41","11:30","11:30",2020,23.292,23.292,23.292
2020-06-29,"Kebler Pass",NA,"10:41","10:58","10:30","11:00",2020,23.388,23.1,23.244
2020-06-29,"Lake Irwin",NA,"10:08","10:21","10:00","10:30",2020,19.662,22.525,21.0935
2020-06-30,"Stupid Falls",NA,"13:23","13:38","13:30","13:30",NA,NA,NA,NA
2020-06-30,"Gothic Town",NA,"12:10","13:00","12:00","13:00",2020,18.616,19.282,18.949
